typed	code	subcode
have you said vole?	vole	~
hawk	hawk	~
he is an animal	~	~
hedge hog	hedgehog	~
hedgehog	hedgehog	~
hedgehogs	hedgehog	~
hehe	~	~
hello	~	~
hello kitty	kitten	~
hen	hen	~
hence the name, haha.	~	~
herbivore	~	~
herds 	~	~
heron	heron	~
herring	herring	~
hibernation 	~	~
hipopotamus	hippopotamus	~
hippo	hippopotamus	~
hippopotamus	hippopotamus	~
hippopotamus(sp)	hippopotamus	~
hmm maybe	~	~
homo sapien	human	~
homo sapiens sapiens	human	~
honey badger	badger	badger
honey badgers	badger	badger
honey bee	honeybee	~
honey bee (european)	honeybee	~
honeybadger!!!!	badger	badger
horse	horse	~
horses	horse	~
horses, sheep, pigs, 	horse/sheep/pig	~
hounds	dog	~
housefly	fly	~
how do u spell ghekko?	gecko	~
howler monkey	howlermonkey	~
howlin monkeys? 	howlermonkey	~
human	human	~
human beings	human	~
humans	human	~
human's are mammals 	human	~
humpback wha;e	humpbackwhale	~
humpback whale	humpbackwhale	~
hyena	hyena	~
hyena - wicked laugh	hyena	~
hyenas	hyena	~
hyene	hyena	~
hyenna	hyena	~
hyngna	hyena	~
i don't really know many australian ones!	~	~
i guess so, i thought insects are... well they should be	insect	~
i guess, yeah	~	~
i know loads but haveing trouble thinking of any! argh!	~	~
i know which ones you mean the really ratty things you want to stamp on	rat	~
i like hamsters	hamster	~
i think we are animals 	~	~
iberian cat	lynx	iberian
ibex	ibex	~
if amphibians count then insects do	amphibian/insect	~
iguana	iguana	~
i'm gonna do stuff in the sea	~	~
impala	impala	~
includes scotland	~	~
insects	insect	~
invertebrates	~	~
is a fish	fish	~
is that correct?	~	~
is that even a thing?!	~	~
is that how you spell it?	~	~
it can walk on water!	~	~
it's an animal!	~	~
its just team work	~	~
its like a story lol	~	~
its words in the category tough	~	~
ivory trade 	~	~
jackal	jackal	~
jackal - from a pack of cards	jackal	~
jaguar	jaguar	~
jaguars	jaguar	~
japanese hornet	hornet	japanese
japanese water deer	deer	water
jawfish	fish	jaw
jeffroy's marmoset	marmoset	white-headed
jellyfis	jellyfish	~
jellyfish	jellyfish	~
jesus lizard	lizard	jesus
joey	kangaroo	~
